,Sport,Nums
0,Archery,1
1,Athletics,8
2,Badminton,18
3,Boxing,3
4,Canoeing,2
5,Cycling,1
6,Diving,40
7,Fencing,4
8,Figure Skating,1
9,Freestyle Skiing,1
10,Gymnastics,26
11,Judo,8
12,Rowing,1
13,Sailing,3
14,Shooting,22
15,Short Track Speed Skating,9
16,Speed Skating,1
17,Swimming,13
18,Table Tennis,28
19,Taekwondo,7
20,Tennis,1
21,Trampolining,3
22,Volleyball,3
23,Weightlifting,34
24,Wrestling,2
